text,intent
"2025년 1학기 개강일은 언제인가요?","2025년 1학기 개강일은 3월 3일(월)입니다."
"중간고사는 언제인가요?","2025년 1학기 중간고사는 5월 12일(월) ~ 5월 16일(금)입니다."
"기말고사는?","2025년 1학기 기말고사는 6월 23일(월) ~ 6월 27일(금)입니다."
"여름방학은 언제부터인가요?","여름방학은 7월 28일(월)부터 8월 24일(일)까지입니다."
"2학기 개강은 언제인가요?","2025년 2학기 개강은 9월 1일(월)입니다."
"등록금 납부 기간은?","등록금 납부 기간은 2월 17일(월) ~ 2월 21일(금)입니다."
"장학금 신청은 어떻게 하나요?","장학금 신청은 포털 > 학사 > 장학관리 > 신청하기 메뉴에서 가능합니다."
"컴퓨터공학과 커리큘럼은?","컴퓨터공학과는 AI, 머신러닝, 컴퓨터비전, 웹개발, 데이터베이스, 소프트웨어공학 등의 전공 과목을 배웁니다."
"AI전공 트랙은 어떤 과목들인가요?","AI전공 트랙: 딥러닝, 강화학습, 자연어처리, 컴퓨터비전, 빅데이터분석, AI프로젝트"
"대진대학교는 어디에 있나요?","대진대학교는 경기도 포천시 선단로 1007번길 76에 위치해 있습니다."
"학교 오는 길은?","- 지하철: 7호선 대진대역 2번출구 도보 5분\n- 버스: 33-5, 37, 202-1번 등 대진대입구 하차\n- 셔틀버스: 호암교에서 운행"
"주차장은 어디인가요?","학생 주차장은 제1주차장(정문 우회전), 제2주차장(후문). 월 주차권 30,000원."
"도서관 운영시간은?","평일 08:30~22:00, 토요일 10:00~17:00, 일요일 휴무"
"컴퓨터실은 어디에 있나요?","공과대학 1호관 3층 컴퓨터실(24시간), 2호관 2층 멀티미디어실"
"학과는 몇개 있나요?","인문사회과학대학 5개, 자연과학대학 4개, 공과대학 6개, 총 15개 학과"
"공과대학 학과는?","컴퓨터공학, 소프트웨어, 전자공학, 정보통신, 건축학, 산업경영공학"
"휴학 신청은 어떻게 하나요?","포털 > 학사 > 학적관리 > 휴학신청. 학기 시작 전까지 가능"
"복학은 언제 하나요?","복학은 복학 전 학기 종료 2주 전까지 포털에서 신청"
"성적 확인은?","포털 > 학사 > 성적관리 > 성적열람. 성적공시일 이후 확인 가능"
"출석 인정은 어떻게 되나요?","온라인 출석체크: 클래스팅/에브리타임, 오프라인: 지문인식"
"교내 식당은?","학생회관 2층, 밥 평균 5,000원, 한솥 도시락과 분식집도 있습니다."
"기숙사 신청은?","포털 > 생활 > 기숙사관리 > 신청. 1학년 우선 배정"
"기숙사비는 얼마인가요?","4인실 기준 월 25만원(식사비 별도). 2인실 35만원"
"동아리 가입은 어떻게 하나요?","신입생 오리엔테이션 또는 포털 > 학생회 > 동아리공고 확인"
"체육관은 어디에 있나요?","정문에 체육관 있습니다. 농구,축구 가능"
"의료실은?","학생회관 1층 보건실. 평일 09:00~17:00 운영"
"셔틀버스는 언제 운행하나요?","호암교 ↔ 대진대입구 (07:30~21:00, 15분 간격)"
"학과 사무실은 어디인가요?","컴퓨터공학과 사무실: 공과대학 1호관 101호"
"졸업요건은?","전공 90학점 + 교양 42학점 + 자유선택 18학점 = 총 150학점"
"인턴십 신청은?","포털 > 취업 > 인턴십 > 공고신청. 3학년 이상"
"코딩 동아리 있나요?","AI스터디, SW마이스터, 블랙핏 프로그래밍 동아리 운영"
"해커톤 대회는?","매 학기 공과대학 주최 해커톤. 상금 100만원"
""

